k,train_accuracy,val_accuracy,test_accuracy,precision,recall,f1_score,confusion_matrix,classification_report,run_time
1800,0.9423592686653137,0.956250011920929,0.95625,0.95625,0.95625,0.95625,"[[96, 0, 6], [0, 113, 1], [6, 1, 97]]","              precision    recall  f1-score   support

           0       0.94      0.94      0.94       102
           1       0.99      0.99      0.99       114
           2       0.93      0.93      0.93       104

    accuracy                           0.96       320
   macro avg       0.96      0.96      0.96       320
weighted avg       0.96      0.96      0.96       320
",38.36150550842285
1700,0.9423592686653137,0.9593750238418579,0.95625,0.9575028046469886,0.95625,0.9560556975516878,"[[99, 0, 3], [0, 114, 0], [10, 1, 93]]","              precision    recall  f1-score   support

           0       0.91      0.97      0.94       102
           1       0.99      1.00      1.00       114
           2       0.97      0.89      0.93       104

    accuracy                           0.96       320
   macro avg       0.96      0.95      0.95       320
weighted avg       0.96      0.96      0.96       320
",38.924408197402954
1650,0.930294930934906,0.909375011920929,0.884375,0.9023851562499999,0.884375,0.8767726029342601,"[[102, 0, 0], [0, 114, 0], [23, 14, 67]]","              precision    recall  f1-score   support

           0       0.82      1.00      0.90       102
           1       0.89      1.00      0.94       114
           2       1.00      0.64      0.78       104

    accuracy                           0.88       320
   macro avg       0.90      0.88      0.87       320
weighted avg       0.90      0.88      0.88       320
",39.535701751708984
1550,0.9369972944259644,0.940625011920929,0.928125,0.931444422097077,0.928125,0.9289656617894462,"[[92, 0, 10], [0, 108, 6], [7, 0, 97]]","              precision    recall  f1-score   support

           0       0.93      0.90      0.92       102
           1       1.00      0.95      0.97       114
           2       0.86      0.93      0.89       104

    accuracy                           0.93       320
   macro avg       0.93      0.93      0.93       320
weighted avg       0.93      0.93      0.93       320
",36.04059958457947
1600,0.9296246767044067,0.934374988079071,0.925,0.933795987418986,0.925,0.9244889099823673,"[[101, 0, 1], [0, 112, 2], [21, 0, 83]]","              precision    recall  f1-score   support

           0       0.83      0.99      0.90       102
           1       1.00      0.98      0.99       114
           2       0.97      0.80      0.87       104

    accuracy                           0.93       320
   macro avg       0.93      0.92      0.92       320
weighted avg       0.93      0.93      0.92       320
",39.444061040878296
1500,0.9262734651565552,0.9125000238418579,0.921875,0.9241224990380916,0.921875,0.9217436659024555,"[[86, 0, 16], [0, 113, 1], [6, 2, 96]]","              precision    recall  f1-score   support

           0       0.93      0.84      0.89       102
           1       0.98      0.99      0.99       114
           2       0.85      0.92      0.88       104

    accuracy                           0.92       320
   macro avg       0.92      0.92      0.92       320
weighted avg       0.92      0.92      0.92       320
",35.61896085739136
1450,0.9356568455696106,0.940625011920929,0.946875,0.9487483617300132,0.946875,0.9470140762829089,"[[101, 0, 1], [0, 106, 8], [8, 0, 96]]","              precision    recall  f1-score   support

           0       0.93      0.99      0.96       102
           1       1.00      0.93      0.96       114
           2       0.91      0.92      0.92       104

    accuracy                           0.95       320
   macro avg       0.95      0.95      0.95       320
weighted avg       0.95      0.95      0.95       320
",35.777442932128906
1400,0.945040225982666,0.9468749761581421,0.959375,0.9601416903232233,0.959375,0.9591344975062306,"[[100, 0, 2], [0, 113, 1], [8, 2, 94]]","              precision    recall  f1-score   support

           0       0.93      0.98      0.95       102
           1       0.98      0.99      0.99       114
           2       0.97      0.90      0.94       104

    accuracy                           0.96       320
   macro avg       0.96      0.96      0.96       320
weighted avg       0.96      0.96      0.96       320
",37.00292682647705
1350,0.9269437193870544,0.9437500238418579,0.95625,0.9567216981132075,0.95625,0.9564306784660767,"[[96, 0, 6], [0, 112, 2], [6, 0, 98]]","              precision    recall  f1-score   support

           0       0.94      0.94      0.94       102
           1       1.00      0.98      0.99       114
           2       0.92      0.94      0.93       104

    accuracy                           0.96       320
   macro avg       0.96      0.96      0.96       320
weighted avg       0.96      0.96      0.96       320
",37.516536712646484
1300,0.9396783113479614,0.9312499761581421,0.934375,0.9361459815078236,0.934375,0.9341454189963905,"[[97, 0, 5], [0, 113, 1], [14, 1, 89]]","              precision    recall  f1-score   support

           0       0.87      0.95      0.91       102
           1       0.99      0.99      0.99       114
           2       0.94      0.86      0.89       104

    accuracy                           0.93       320
   macro avg       0.93      0.93      0.93       320
weighted avg       0.94      0.93      0.93       320
",35.13838052749634
1250,0.9524128437042236,0.956250011920929,0.9625,0.9625542043740574,0.9625,0.9624696601941748,"[[98, 0, 4], [0, 113, 1], [6, 1, 97]]","              precision    recall  f1-score   support

           0       0.94      0.96      0.95       102
           1       0.99      0.99      0.99       114
           2       0.95      0.93      0.94       104

    accuracy                           0.96       320
   macro avg       0.96      0.96      0.96       320
weighted avg       0.96      0.96      0.96       320
",35.67553424835205
1200,0.9296246767044067,0.9437500238418579,0.946875,0.9470288189533239,0.946875,0.9468259544008484,"[[96, 0, 6], [0, 113, 1], [9, 1, 94]]","              precision    recall  f1-score   support

           0       0.91      0.94      0.93       102
           1       0.99      0.99      0.99       114
           2       0.93      0.90      0.92       104

    accuracy                           0.95       320
   macro avg       0.95      0.95      0.95       320
weighted avg       0.95      0.95      0.95       320
",36.80591082572937
1150,0.9410187602043152,0.9125000238418579,0.91875,0.9221222988077497,0.91875,0.9182403790840954,"[[86, 0, 16], [0, 114, 0], [2, 8, 94]]","              precision    recall  f1-score   support

           0       0.98      0.84      0.91       102
           1       0.93      1.00      0.97       114
           2       0.85      0.90      0.88       104

    accuracy                           0.92       320
   macro avg       0.92      0.92      0.92       320
weighted avg       0.92      0.92      0.92       320
",38.134485483169556
1100,0.9430294632911682,0.9437500238418579,0.95,0.9555235042735042,0.95,0.949794301247926,"[[102, 0, 0], [0, 113, 1], [15, 0, 89]]","              precision    recall  f1-score   support

           0       0.87      1.00      0.93       102
           1       1.00      0.99      1.00       114
           2       0.99      0.86      0.92       104

    accuracy                           0.95       320
   macro avg       0.95      0.95      0.95       320
weighted avg       0.96      0.95      0.95       320
",37.90060639381409
1050,0.9423592686653137,0.918749988079071,0.921875,0.9248777173913044,0.921875,0.921897170428362,"[[85, 0, 17], [0, 113, 1], [7, 0, 97]]","              precision    recall  f1-score   support

           0       0.92      0.83      0.88       102
           1       1.00      0.99      1.00       114
           2       0.84      0.93      0.89       104

    accuracy                           0.92       320
   macro avg       0.92      0.92      0.92       320
weighted avg       0.92      0.92      0.92       320
",39.3033332824707
1000,0.9376675486564636,0.953125,0.978125,0.9782440476190477,0.978125,0.9781704492759733,"[[99, 0, 3], [0, 113, 1], [3, 0, 101]]","              precision    recall  f1-score   support

           0       0.97      0.97      0.97       102
           1       1.00      0.99      1.00       114
           2       0.96      0.97      0.97       104

    accuracy                           0.98       320
   macro avg       0.98      0.98      0.98       320
weighted avg       0.98      0.98      0.98       320
",37.624924659729004
950,0.9416890144348145,0.940625011920929,0.9375,0.9421826018808778,0.9375,0.9365556857465762,"[[101, 0, 1], [0, 113, 1], [15, 3, 86]]","              precision    recall  f1-score   support

           0       0.87      0.99      0.93       102
           1       0.97      0.99      0.98       114
           2       0.98      0.83      0.90       104

    accuracy                           0.94       320
   macro avg       0.94      0.94      0.94       320
weighted avg       0.94      0.94      0.94       320
",37.55957055091858
900,0.947050929069519,0.871874988079071,0.915625,0.9211181732580037,0.915625,0.914947330813203,"[[82, 0, 20], [0, 114, 0], [3, 4, 97]]","              precision    recall  f1-score   support

           0       0.96      0.80      0.88       102
           1       0.97      1.00      0.98       114
           2       0.83      0.93      0.88       104

    accuracy                           0.92       320
   macro avg       0.92      0.91      0.91       320
weighted avg       0.92      0.92      0.91       320
",36.92832946777344
850,0.9396783113479614,0.9437500238418579,0.96875,0.9693726851851853,0.96875,0.9688933940772604,"[[97, 0, 5], [0, 112, 2], [3, 0, 101]]","              precision    recall  f1-score   support

           0       0.97      0.95      0.96       102
           1       1.00      0.98      0.99       114
           2       0.94      0.97      0.95       104

    accuracy                           0.97       320
   macro avg       0.97      0.97      0.97       320
weighted avg       0.97      0.97      0.97       320
",37.493309020996094
800,0.9436997175216675,0.9468749761581421,0.953125,0.9579587438423645,0.953125,0.9529604332538495,"[[102, 0, 0], [0, 113, 1], [14, 0, 90]]","              precision    recall  f1-score   support

           0       0.88      1.00      0.94       102
           1       1.00      0.99      1.00       114
           2       0.99      0.87      0.92       104

    accuracy                           0.95       320
   macro avg       0.96      0.95      0.95       320
weighted avg       0.96      0.95      0.95       320
",38.30925750732422
750,0.9490616917610168,0.96875,0.984375,0.9844642857142857,0.984375,0.9844054971228632,"[[100, 0, 2], [0, 113, 1], [2, 0, 102]]","              precision    recall  f1-score   support

           0       0.98      0.98      0.98       102
           1       1.00      0.99      1.00       114
           2       0.97      0.98      0.98       104

    accuracy                           0.98       320
   macro avg       0.98      0.98      0.98       320
weighted avg       0.98      0.98      0.98       320
",34.506192684173584
700,0.9591152667999268,0.890625,0.91875,0.9196656492785793,0.91875,0.9190490815031691,"[[92, 0, 10], [0, 112, 2], [14, 0, 90]]","              precision    recall  f1-score   support

           0       0.87      0.90      0.88       102
           1       1.00      0.98      0.99       114
           2       0.88      0.87      0.87       104

    accuracy                           0.92       320
   macro avg       0.92      0.92      0.92       320
weighted avg       0.92      0.92      0.92       320
",37.23127555847168
650,0.9436997175216675,0.956250011920929,0.971875,0.9732562640765765,0.971875,0.9719471776985096,"[[95, 0, 7], [0, 113, 1], [1, 0, 103]]","              precision    recall  f1-score   support

           0       0.99      0.93      0.96       102
           1       1.00      0.99      1.00       114
           2       0.93      0.99      0.96       104

    accuracy                           0.97       320
   macro avg       0.97      0.97      0.97       320
weighted avg       0.97      0.97      0.97       320
",36.31268548965454
600,0.9510723948478699,0.9750000238418579,0.978125,0.978125,0.978125,0.9781102715918463,"[[100, 0, 2], [0, 113, 1], [3, 1, 100]]","              precision    recall  f1-score   support

           0       0.97      0.98      0.98       102
           1       0.99      0.99      0.99       114
           2       0.97      0.96      0.97       104

    accuracy                           0.98       320
   macro avg       0.98      0.98      0.98       320
weighted avg       0.98      0.98      0.98       320
",34.99454855918884
550,0.9477211833000183,0.956250011920929,0.959375,0.9594286303630362,0.959375,0.9593875215075306,"[[96, 0, 6], [0, 113, 1], [5, 1, 98]]","              precision    recall  f1-score   support

           0       0.95      0.94      0.95       102
           1       0.99      0.99      0.99       114
           2       0.93      0.94      0.94       104

    accuracy                           0.96       320
   macro avg       0.96      0.96      0.96       320
weighted avg       0.96      0.96      0.96       320
",38.08886456489563
500,0.9483914375305176,0.965624988079071,0.971875,0.9724355116586425,0.971875,0.971790295684352,"[[101, 0, 1], [0, 113, 1], [6, 1, 97]]","              precision    recall  f1-score   support

           0       0.94      0.99      0.97       102
           1       0.99      0.99      0.99       114
           2       0.98      0.93      0.96       104

    accuracy                           0.97       320
   macro avg       0.97      0.97      0.97       320
weighted avg       0.97      0.97      0.97       320
",37.559274435043335
450,0.9550938606262207,0.9593750238418579,0.95625,0.9614406779661018,0.95625,0.9565568972437785,"[[100, 0, 2], [0, 102, 12], [0, 0, 104]]","              precision    recall  f1-score   support

           0       1.00      0.98      0.99       102
           1       1.00      0.89      0.94       114
           2       0.88      1.00      0.94       104

    accuracy                           0.96       320
   macro avg       0.96      0.96      0.96       320
weighted avg       0.96      0.96      0.96       320
",40.12735438346863
400,0.9544236063957214,0.965624988079071,0.978125,0.9785839682717246,0.978125,0.9780427150539192,"[[101, 0, 1], [0, 114, 0], [5, 1, 98]]","              precision    recall  f1-score   support

           0       0.95      0.99      0.97       102
           1       0.99      1.00      1.00       114
           2       0.99      0.94      0.97       104

    accuracy                           0.98       320
   macro avg       0.98      0.98      0.98       320
weighted avg       0.98      0.98      0.98       320
",37.61433172225952
350,0.9624664783477783,0.949999988079071,0.959375,0.9614474196805259,0.959375,0.9588893374593177,"[[102, 0, 0], [0, 113, 1], [9, 3, 92]]","              precision    recall  f1-score   support

           0       0.92      1.00      0.96       102
           1       0.97      0.99      0.98       114
           2       0.99      0.88      0.93       104

    accuracy                           0.96       320
   macro avg       0.96      0.96      0.96       320
weighted avg       0.96      0.96      0.96       320
",38.1270649433136
300,0.9483914375305176,0.925000011920929,0.9625,0.963047138047138,0.9625,0.9625903604742474,"[[95, 0, 7], [0, 113, 1], [4, 0, 100]]","              precision    recall  f1-score   support

           0       0.96      0.93      0.95       102
           1       1.00      0.99      1.00       114
           2       0.93      0.96      0.94       104

    accuracy                           0.96       320
   macro avg       0.96      0.96      0.96       320
weighted avg       0.96      0.96      0.96       320
",38.48341965675354
250,0.9718498587608337,0.96875,0.99375,0.993867924528302,0.99375,0.9937651816005151,"[[101, 0, 1], [0, 113, 1], [0, 0, 104]]","              precision    recall  f1-score   support

           0       1.00      0.99      1.00       102
           1       1.00      0.99      1.00       114
           2       0.98      1.00      0.99       104

    accuracy                           0.99       320
   macro avg       0.99      0.99      0.99       320
weighted avg       0.99      0.99      0.99       320
",37.89799737930298
200,0.972520112991333,0.96875,0.95,0.954794061302682,0.95,0.9496006928024212,"[[102, 0, 0], [0, 113, 1], [14, 1, 89]]","              precision    recall  f1-score   support

           0       0.88      1.00      0.94       102
           1       0.99      0.99      0.99       114
           2       0.99      0.86      0.92       104

    accuracy                           0.95       320
   macro avg       0.95      0.95      0.95       320
weighted avg       0.95      0.95      0.95       320
",37.031712770462036
150,0.9772117733955383,0.971875011920929,0.9875,0.9879629629629629,0.9875,0.9875410785818228,"[[99, 0, 3], [0, 113, 1], [0, 0, 104]]","              precision    recall  f1-score   support

           0       1.00      0.97      0.99       102
           1       1.00      0.99      1.00       114
           2       0.96      1.00      0.98       104

    accuracy                           0.99       320
   macro avg       0.99      0.99      0.99       320
weighted avg       0.99      0.99      0.99       320
",36.349878787994385
100,0.9517426490783691,0.9593750238418579,0.96875,0.9690406162464986,0.96875,0.968795222058788,"[[99, 0, 3], [0, 113, 1], [6, 0, 98]]","              precision    recall  f1-score   support

           0       0.94      0.97      0.96       102
           1       1.00      0.99      1.00       114
           2       0.96      0.94      0.95       104

    accuracy                           0.97       320
   macro avg       0.97      0.97      0.97       320
weighted avg       0.97      0.97      0.97       320
",37.03130626678467
50,0.9182305335998535,0.918749988079071,0.9125,0.9246340782759249,0.9125,0.9100082010985657,"[[101, 0, 1], [0, 114, 0], [23, 4, 77]]","              precision    recall  f1-score   support

           0       0.81      0.99      0.89       102
           1       0.97      1.00      0.98       114
           2       0.99      0.74      0.85       104

    accuracy                           0.91       320
   macro avg       0.92      0.91      0.91       320
weighted avg       0.92      0.91      0.91       320
",35.526658058166504
